Edad,Género,Obesidad,Ingresos familiares promedio,Tamaño de la familia,Título educativo del padre,Título educativo de la madre,Estado civil de los padres,Horas de estudio,Estado residencial,Tipo de familia,Número de niños que viven juntos en casa,Educación de género,Categoría de escuelas,Número promedio de días de ausencia,Distancia entre el hogar y la escuela,Número promedio de días de retraso,Modo de desplazamiento a la escuela,Rendimiento académico previo,Estrés,Actividad física,Ingesta de alimentos,Consumo de tabaco,Consumo de alcohol por semana,Tipo de comportamiento,Pensamiento positivo u optimista,Sentirse tenso o incómodo,Sentirse triste o deprimido,Rendimiento académico
adolescencia temprana,femenino,no,clase baja,pequeño,preparatoria,licenciatura,separado,2.7,albergue,nuclear,4,mixto,público,2,más de 5 km,casi todos los días,a pie,bajo,muy poco estrés,nunca,regular,ocasional,ocasional,algunas veces,a veces,rara vez,rara vez,bajo
otros,masculino,sí,clase media-baja,mediano,licenciatura,primaria,casado,4.0,albergue,nuclear,1,unisexo,público,2,3–5 km,nunca,a pie,alto,leve,ocasional,ocasional,ocasional,nunca,rara vez,a veces,casi siempre,casi siempre,moderado
adolescencia temprana,masculino,no,clase baja,pequeño,posgrado,sin educación,divorciado,2.4,albergue,nuclear,3,mixto,privado,9,3–5 km,una vez a la semana,transporte privado,moderado,moderado,nunca,nunca,ocasional,ocasional,bastante a menudo,bastante a menudo,casi nunca,casi nunca,bajo
adolescencia temprana,femenino,sí,alta,mediano,sin educación,licenciatura,divorciado,4.7,con familiares,conjunto,4,mixto,público,5,más de 5 km,nunca,a pie,alto,moderado,ocasional,regular,ocasional,nunca,casi nunca,casi nunca,casi nunca,bastante a menudo,moderado
adolescencia tardía,masculino,no,clase media-alta,grande,preparatoria,secundaria,viudo,3.6,con padres,conjunto,5,mixto,público,3,1–3 km,casi todos los días,transporte privado,alto,grave,nunca,nunca,nunca,nunca,algunas veces,casi nunca,algunas veces,casi nunca,moderado
adolescencia media,femenino,sí,alta,pequeño,secundaria,sin educación,soltero,2.6,con padres,nuclear,1,mixto,privado,4,3–5 km,una vez a la semana,transporte privado,alto,muy poco estrés,regular,ocasional,ocasional,nunca,casi siempre,casi nunca,casi nunca,rara vez,moderado
adolescencia media,femenino,no,clase media-alta,grande,posgrado,primaria,soltero,2.2,con familiares,conjunto,6,unisexo,público,5,1–3 km,nunca,transporte público,alto,muy poco estrés,regular,ocasional,ocasional,regular,casi nunca,a veces,casi nunca,algunas veces,bajo
adolescencia temprana,masculino,no,clase media-baja,grande,preparatoria,posgrado,soltero,4.2,con padres,conjunto,5,unisexo,privado,3,1–3 km,nunca,transporte público,moderado,moderado,ocasional,ocasional,regular,ocasional,bastante a menudo,rara vez,bastante a menudo,algunas veces,moderado
adolescencia media,femenino,no,clase media-baja,pequeño,licenciatura,primaria,divorciado,2.5,con familiares,nuclear,3,mixto,privado,3,menos de 1 km,nunca,transporte privado,alto,mayor,nunca,nunca,nunca,regular,casi nunca,a veces,casi siempre,casi nunca,moderado
adolescencia media,femenino,no,clase media-baja,pequeño,preparatoria,sin educación,soltero,6.1,con padres,nuclear,2,mixto,privado,3,3–5 km,nunca,transporte privado,alto,mayor,nunca,nunca,ocasional,nunca,casi siempre,casi siempre,rara vez,casi nunca,moderado
adolescencia media,femenino,no,clase media-alta,grande,posgrado,secundaria,divorciado,1.3,albergue,nuclear,5,unisexo,privado,2,menos de 1 km,casi todos los días,transporte privado,alto,leve,regular,nunca,nunca,regular,casi siempre,rara vez,algunas veces,algunas veces,bajo
otros,femenino,sí,clase media-alta,grande,preparatoria,primaria,soltero,2.2,con familiares,nuclear,4,unisexo,público,5,menos de 1 km,dos veces a la semana,a pie,bajo,grave,ocasional,nunca,regular,nunca,casi siempre,rara vez,algunas veces,bastante a menudo,bajo
otros,masculino,no,clase baja,grande,sin educación,primaria,separado,3.0,con familiares,conjunto,1,mixto,privado,2,menos de 1 km,dos veces a la semana,a pie,alto,mayor,nunca,nunca,ocasional,ocasional,algunas veces,bastante a menudo,rara vez,bastante a menudo,moderado
adolescencia temprana,femenino,no,clase baja,mediano,secundaria,secundaria,viudo,2.4,con padres,conjunto,1,mixto,privado,1,más de 5 km,una vez a la semana,transporte privado,bajo,moderado,ocasional,ocasional,nunca,regular,casi nunca,rara vez,bastante a menudo,casi nunca,bajo
adolescencia tardía,masculino,no,clase media-baja,mediano,sin educación,licenciatura,viudo,1.5,albergue,conjunto,4,unisexo,privado,2,3–5 km,nunca,transporte público,moderado,leve,ocasional,regular,regular,regular,algunas veces,casi siempre,casi siempre,algunas veces,bajo
otros,femenino,sí,clase media-alta,pequeño,sin educación,sin educación,soltero,2.8,con padres,nuclear,5,unisexo,público,5,menos de 1 km,nunca,transporte privado,bajo,mayor,nunca,ocasional,nunca,regular,bastante a menudo,a veces,casi nunca,casi nunca,bajo
otros,femenino,sí,clase media-alta,pequeño,preparatoria,sin educación,viudo,1.6,albergue,conjunto,3,mixto,privado,2,3–5 km,nunca,a pie,bajo,leve,ocasional,ocasional,ocasional,ocasional,bastante a menudo,casi siempre,rara vez,casi siempre,bajo
otros,masculino,sí,clase media-baja,pequeño,licenciatura,sin educación,separado,3.4,albergue,conjunto,1,unisexo,privado,7,menos de 1 km,una vez a la semana,transporte privado,alto,mayor,ocasional,nunca,ocasional,nunca,casi siempre,casi siempre,casi nunca,casi nunca,moderado
adolescencia tardía,femenino,sí,clase baja,grande,posgrado,primaria,divorciado,1.5,albergue,nuclear,1,mixto,público,2,3–5 km,dos veces a la semana,transporte privado,moderado,muy poco estrés,regular,nunca,ocasional,nunca,bastante a menudo,casi siempre,algunas veces,casi siempre,bajo
adolescencia temprana,masculino,sí,clase media-alta,grande,preparatoria,licenciatura,viudo,2.1,con padres,nuclear,3,unisexo,público,0,menos de 1 km,dos veces a la semana,transporte público,moderado,muy poco estrés,nunca,nunca,ocasional,nunca,rara vez,bastante a menudo,rara vez,rara vez,bajo
adolescencia media,masculino,sí,clase baja,pequeño,preparatoria,primaria,divorciado,0.9,albergue,conjunto,6,mixto,público,2,1–3 km,dos veces a la semana,transporte privado,alto,leve,nunca,regular,nunca,nunca,casi siempre,bastante a menudo,bastante a menudo,rara vez,bajo
adolescencia temprana,masculino,sí,clase media-baja,grande,secundaria,sin educación,separado,3.4,con padres,nuclear,6,unisexo,público,2,1–3 km,una vez a la semana,transporte privado,bajo,grave,regular,nunca,regular,ocasional,rara vez,a veces,bastante a menudo,casi nunca,bajo
adolescencia temprana,masculino,no,alta,grande,preparatoria,secundaria,viudo,5.6,con familiares,conjunto,4,unisexo,privado,4,1–3 km,nunca,transporte público,bajo,grave,ocasional,regular,regular,nunca,casi siempre,bastante a menudo,algunas veces,algunas veces,bajo
adolescencia tardía,masculino,no,clase media-baja,grande,licenciatura,licenciatura,soltero,2.7,con padres,conjunto,2,unisexo,público,4,menos de 1 km,casi todos los días,transporte público,alto,leve,regular,ocasional,nunca,ocasional,algunas veces,a veces,bastante a menudo,bastante a menudo,moderado
otros,femenino,sí,clase media-alta,grande,preparatoria,primaria,soltero,3.0,con familiares,conjunto,2,mixto,público,4,3–5 km,casi todos los días,a pie,moderado,muy poco estrés,ocasional,nunca,nunca,ocasional,bastante a menudo,casi siempre,bastante a menudo,bastante a menudo,moderado
adolescencia temprana,femenino,sí,clase media-baja,grande,secundaria,posgrado,soltero,1.4,con padres,nuclear,1,unisexo,público,1,1–3 km,una vez a la semana,a pie,alto,leve,regular,nunca,nunca,ocasional,rara vez,casi nunca,rara vez,casi siempre,bajo
adolescencia temprana,femenino,no,clase baja,pequeño,posgrado,preparatoria,separado,2.3,con familiares,conjunto,4,unisexo,público,3,más de 5 km,nunca,a pie,moderado,grave,nunca,ocasional,ocasional,ocasional,rara vez,rara vez,casi nunca,casi nunca,bajo
adolescencia tardía,masculino,sí,clase media-baja,grande,primaria,posgrado,divorciado,2.4,albergue,conjunto,1,mixto,privado,1,1–3 km,nunca,transporte público,alto,mayor,nunca,regular,nunca,regular,bastante a menudo,casi nunca,algunas veces,bastante a menudo,bajo
adolescencia media,femenino,no,clase baja,mediano,primaria,sin educación,soltero,1.7,albergue,nuclear,5,mixto,privado,2,más de 5 km,una vez a la semana,transporte público,alto,grave,ocasional,ocasional,regular,ocasional,algunas veces,bastante a menudo,bastante a menudo,casi nunca,bajo
otros,masculino,no,clase media-alta,pequeño,sin educación,posgrado,separado,2.7,con familiares,nuclear,3,unisexo,privado,3,3–5 km,casi todos los días,transporte público,bajo,muy poco estrés,regular,nunca,ocasional,nunca,bastante a menudo,casi siempre,algunas veces,algunas veces,bajo
otros,masculino,sí,alta,grande,licenciatura,preparatoria,viudo,2.2,con padres,conjunto,5,unisexo,público,1,3–5 km,una vez a la semana,transporte privado,moderado,grave,ocasional,regular,nunca,ocasional,rara vez,casi nunca,algunas veces,algunas veces,bajo
otros,femenino,sí,clase media-baja,pequeño,preparatoria,secundaria,viudo,3.9,con padres,nuclear,1,unisexo,privado,2,menos de 1 km,dos veces a la semana,transporte público,moderado,muy poco estrés,nunca,regular,ocasional,nunca,rara vez,casi nunca,casi siempre,bastante a menudo,moderado
adolescencia tardía,femenino,sí,alta,mediano,licenciatura,posgrado,divorciado,4.6,albergue,nuclear,1,mixto,público,5,3–5 km,dos veces a la semana,a pie,alto,grave,ocasional,nunca,ocasional,ocasional,casi nunca,rara vez,algunas veces,bastante a menudo,moderado
adolescencia tardía,femenino,no,clase baja,mediano,preparatoria,sin educación,viudo,1.6,albergue,nuclear,1,mixto,privado,6,3–5 km,nunca,transporte público,alto,mayor,regular,nunca,ocasional,ocasional,algunas veces,rara vez,algunas veces,casi nunca,bajo
otros,femenino,sí,clase baja,grande,preparatoria,preparatoria,viudo,4.0,albergue,conjunto,3,unisexo,público,0,más de 5 km,nunca,transporte público,bajo,mayor,nunca,nunca,regular,regular,casi nunca,bastante a menudo,casi siempre,rara vez,bajo
adolescencia temprana,masculino,sí,alta,grande,licenciatura,licenciatura,soltero,5.1,con familiares,conjunto,6,mixto,privado,4,1–3 km,casi todos los días,a pie,bajo,muy poco estrés,ocasional,ocasional,ocasional,regular,casi siempre,casi nunca,algunas veces,casi nunca,bajo
adolescencia media,femenino,sí,alta,pequeño,secundaria,posgrado,casado,2.4,con familiares,conjunto,5,unisexo,privado,0,menos de 1 km,dos veces a la semana,transporte privado,alto,muy poco estrés,nunca,regular,regular,nunca,algunas veces,a veces,rara vez,casi siempre,bajo
adolescencia tardía,femenino,no,alta,mediano,posgrado,preparatoria,casado,5.0,albergue,conjunto,6,mixto,público,6,1–3 km,una vez a la semana,transporte público,alto,muy poco estrés,nunca,nunca,nunca,ocasional,casi siempre,a veces,casi nunca,bastante a menudo,alto
otros,masculino,no,clase media-baja,mediano,posgrado,licenciatura,casado,0.0,con padres,conjunto,6,mixto,privado,8,1–3 km,nunca,transporte público,bajo,leve,regular,regular,regular,ocasional,rara vez,a veces,casi siempre,casi siempre,bajo
adolescencia temprana,femenino,no,alta,mediano,preparatoria,licenciatura,casado,1.5,con padres,conjunto,3,unisexo,privado,4,más de 5 km,dos veces a la semana,a pie,alto,leve,nunca,ocasional,nunca,ocasional,bastante a menudo,casi nunca,bastante a menudo,bastante a menudo,bajo
adolescencia media,femenino,no,clase baja,mediano,primaria,sin educación,casado,2.3,albergue,conjunto,2,mixto,público,4,3–5 km,nunca,transporte privado,bajo,muy poco estrés,regular,ocasional,regular,ocasional,casi siempre,rara vez,casi nunca,casi nunca,bajo
adolescencia tardía,femenino,sí,alta,grande,primaria,licenciatura,separado,4.5,con familiares,nuclear,3,unisexo,público,0,más de 5 km,nunca,transporte privado,alto,muy poco estrés,regular,ocasional,nunca,regular,casi siempre,casi nunca,casi siempre,casi nunca,alto
adolescencia temprana,femenino,sí,clase baja,mediano,preparatoria,posgrado,casado,2.2,con padres,nuclear,3,unisexo,público,3,más de 5 km,una vez a la semana,transporte privado,alto,muy poco estrés,regular,ocasional,ocasional,ocasional,rara vez,casi siempre,casi nunca,algunas veces,bajo
otros,masculino,no,clase media-alta,mediano,sin educación,posgrado,divorciado,3.7,con familiares,nuclear,2,mixto,público,4,más de 5 km,casi todos los días,a pie,bajo,moderado,nunca,ocasional,regular,regular,algunas veces,a veces,casi siempre,casi nunca,bajo
adolescencia media,femenino,sí,alta,grande,sin educación,licenciatura,divorciado,2.0,con padres,nuclear,4,unisexo,privado,2,más de 5 km,nunca,transporte privado,bajo,grave,regular,regular,regular,regular,casi siempre,a veces,casi nunca,casi siempre,bajo
otros,femenino,no,clase media-alta,pequeño,primaria,licenciatura,divorciado,3.5,con padres,nuclear,6,mixto,público,1,3–5 km,dos veces a la semana,transporte público,alto,moderado,nunca,ocasional,ocasional,regular,rara vez,bastante a menudo,algunas veces,casi siempre,moderado
adolescencia tardía,femenino,sí,alta,mediano,sin educación,licenciatura,viudo,2.5,con familiares,nuclear,5,mixto,público,2,menos de 1 km,nunca,transporte público,moderado,mayor,regular,nunca,regular,regular,rara vez,bastante a menudo,bastante a menudo,casi siempre,moderado
adolescencia media,femenino,no,clase media-alta,grande,licenciatura,preparatoria,soltero,3.9,albergue,nuclear,3,mixto,privado,3,3–5 km,dos veces a la semana,transporte público,moderado,mayor,regular,ocasional,regular,nunca,rara vez,a veces,casi siempre,casi siempre,moderado
adolescencia temprana,masculino,no,clase baja,mediano,posgrado,posgrado,soltero,3.9,con familiares,conjunto,4,mixto,privado,3,menos de 1 km,dos veces a la semana,a pie,bajo,leve,nunca,regular,nunca,regular,casi siempre,a veces,rara vez,algunas veces,bajo
adolescencia temprana,femenino,no,clase media-alta,grande,licenciatura,preparatoria,casado,3.1,albergue,nuclear,5,unisexo,público,3,1–3 km,casi todos los días,a pie,bajo,mayor,nunca,regular,nunca,nunca,bastante a menudo,a veces,casi siempre,algunas veces,bajo
otros,masculino,no,clase media-baja,mediano,primaria,secundaria,casado,4.5,con familiares,nuclear,5,mixto,público,3,más de 5 km,una vez a la semana,a pie,moderado,leve,regular,ocasional,nunca,nunca,casi siempre,a veces,casi nunca,rara vez,moderado
otros,masculino,sí,alta,pequeño,posgrado,licenciatura,viudo,3.4,con padres,nuclear,1,mixto,privado,1,más de 5 km,dos veces a la semana,a pie,moderado,leve,ocasional,regular,ocasional,nunca,casi nunca,casi nunca,casi siempre,rara vez,moderado
otros,masculino,no,clase baja,pequeño,licenciatura,sin educación,viudo,2.1,albergue,conjunto,4,unisexo,público,4,más de 5 km,una vez a la semana,transporte público,moderado,leve,regular,ocasional,nunca,ocasional,algunas veces,a veces,algunas veces,bastante a menudo,bajo
adolescencia tardía,masculino,no,clase baja,grande,preparatoria,posgrado,soltero,3.3,con familiares,nuclear,4,mixto,privado,2,menos de 1 km,una vez a la semana,transporte privado,alto,leve,ocasional,regular,ocasional,regular,casi siempre,a veces,rara vez,algunas veces,moderado
adolescencia media,femenino,sí,clase baja,mediano,preparatoria,secundaria,viudo,2.5,con padres,conjunto,3,unisexo,público,1,menos de 1 km,dos veces a la semana,transporte público,moderado,moderado,nunca,regular,regular,regular,casi siempre,a veces,casi siempre,casi nunca,moderado
adolescencia temprana,femenino,no,clase baja,pequeño,sin educación,posgrado,viudo,2.8,con familiares,conjunto,3,unisexo,público,4,3–5 km,nunca,transporte público,bajo,leve,nunca,ocasional,ocasional,ocasional,casi siempre,casi siempre,rara vez,rara vez,bajo
adolescencia temprana,femenino,no,clase baja,pequeño,sin educación,preparatoria,soltero,5.4,albergue,nuclear,1,unisexo,público,3,3–5 km,nunca,a pie,bajo,leve,regular,ocasional,ocasional,nunca,casi nunca,casi siempre,rara vez,algunas veces,bajo
adolescencia temprana,masculino,no,clase media-baja,mediano,licenciatura,preparatoria,separado,2.4,con familiares,conjunto,5,mixto,público,1,1–3 km,casi todos los días,transporte público,alto,moderado,regular,ocasional,nunca,nunca,rara vez,a veces,casi siempre,algunas veces,bajo
adolescencia temprana,femenino,no,clase media-alta,mediano,primaria,sin educación,casado,2.7,con familiares,conjunto,2,mixto,privado,3,1–3 km,casi todos los días,a pie,moderado,leve,nunca,regular,ocasional,regular,bastante a menudo,rara vez,casi siempre,bastante a menudo,moderado
adolescencia tardía,masculino,sí,clase media-baja,pequeño,secundaria,preparatoria,casado,1.4,albergue,conjunto,2,unisexo,privado,4,menos de 1 km,una vez a la semana,transporte público,alto,leve,ocasional,ocasional,ocasional,ocasional,casi nunca,rara vez,algunas veces,rara vez,bajo
adolescencia media,masculino,sí,clase media-alta,grande,primaria,posgrado,viudo,2.2,albergue,nuclear,5,unisexo,público,5,3–5 km,nunca,a pie,alto,grave,ocasional,ocasional,ocasional,regular,casi nunca,a veces,casi nunca,casi siempre,bajo
adolescencia media,femenino,sí,clase media-alta,mediano,licenciatura,sin educación,separado,2.8,con padres,nuclear,6,mixto,privado,3,más de 5 km,nunca,a pie,alto,muy poco estrés,regular,regular,nunca,nunca,rara vez,casi nunca,casi siempre,casi siempre,moderado
adolescencia media,masculino,no,clase media-baja,grande,primaria,preparatoria,divorciado,4.5,albergue,nuclear,3,unisexo,privado,3,3–5 km,nunca,transporte privado,alto,mayor,regular,regular,nunca,nunca,casi siempre,casi siempre,rara vez,rara vez,moderado
adolescencia media,femenino,sí,alta,pequeño,primaria,sin educación,separado,2.4,albergue,conjunto,2,unisexo,privado,1,1–3 km,una vez a la semana,transporte público,alto,mayor,ocasional,nunca,regular,ocasional,rara vez,bastante a menudo,algunas veces,casi nunca,bajo
otros,masculino,no,alta,pequeño,posgrado,sin educación,soltero,1.0,con familiares,nuclear,2,mixto,privado,1,más de 5 km,una vez a la semana,a pie,bajo,grave,ocasional,nunca,regular,nunca,casi siempre,rara vez,casi nunca,casi nunca,bajo
adolescencia temprana,femenino,sí,alta,grande,preparatoria,primaria,separado,2.2,con padres,nuclear,2,unisexo,público,1,3–5 km,dos veces a la semana,transporte privado,moderado,grave,ocasional,nunca,regular,nunca,bastante a menudo,rara vez,bastante a menudo,casi siempre,bajo
adolescencia media,femenino,no,clase media-baja,mediano,sin educación,posgrado,separado,5.1,con familiares,nuclear,3,mixto,privado,4,menos de 1 km,dos veces a la semana,transporte público,bajo,grave,regular,regular,regular,regular,algunas veces,casi nunca,rara vez,casi nunca,bajo
adolescencia media,femenino,sí,alta,grande,secundaria,sin educación,viudo,2.1,albergue,nuclear,3,unisexo,público,0,más de 5 km,casi todos los días,a pie,moderado,mayor,ocasional,ocasional,regular,ocasional,casi siempre,a veces,casi nunca,casi nunca,bajo
otros,masculino,sí,clase media-alta,mediano,posgrado,licenciatura,divorciado,4.2,con padres,conjunto,6,unisexo,privado,4,1–3 km,una vez a la semana,transporte público,bajo,grave,ocasional,nunca,nunca,ocasional,algunas veces,bastante a menudo,casi nunca,rara vez,bajo
adolescencia media,masculino,sí,clase media-baja,mediano,primaria,licenciatura,soltero,2.3,con familiares,conjunto,5,unisexo,privado,4,más de 5 km,dos veces a la semana,a pie,bajo,leve,regular,regular,ocasional,nunca,casi siempre,casi nunca,rara vez,casi nunca,bajo
adolescencia temprana,femenino,sí,alta,pequeño,preparatoria,posgrado,casado,2.7,albergue,nuclear,6,unisexo,público,1,menos de 1 km,una vez a la semana,a pie,moderado,mayor,ocasional,regular,ocasional,ocasional,casi nunca,casi siempre,bastante a menudo,algunas veces,moderado
adolescencia temprana,masculino,sí,clase baja,mediano,primaria,licenciatura,divorciado,1.4,con familiares,nuclear,5,mixto,público,3,más de 5 km,una vez a la semana,transporte público,bajo,mayor,nunca,regular,nunca,ocasional,casi siempre,bastante a menudo,casi nunca,bastante a menudo,bajo
adolescencia temprana,femenino,sí,clase baja,grande,posgrado,preparatoria,soltero,0.7,con familiares,conjunto,6,unisexo,público,3,3–5 km,casi todos los días,transporte público,alto,grave,ocasional,regular,nunca,regular,casi siempre,casi siempre,bastante a menudo,bastante a menudo,bajo
adolescencia temprana,masculino,sí,clase media-alta,mediano,secundaria,licenciatura,viudo,4.0,con padres,nuclear,6,unisexo,privado,2,menos de 1 km,una vez a la semana,transporte público,alto,moderado,regular,ocasional,nunca,ocasional,casi nunca,casi nunca,rara vez,algunas veces,moderado
otros,femenino,no,alta,grande,preparatoria,sin educación,soltero,2.6,con padres,conjunto,1,unisexo,privado,2,1–3 km,casi todos los días,transporte privado,alto,muy poco estrés,nunca,nunca,nunca,nunca,algunas veces,casi siempre,casi siempre,casi siempre,moderado
adolescencia media,femenino,no,clase media-alta,mediano,preparatoria,posgrado,soltero,4.4,albergue,nuclear,4,mixto,público,4,más de 5 km,una vez a la semana,a pie,alto,muy poco estrés,regular,ocasional,nunca,nunca,rara vez,casi nunca,casi siempre,rara vez,moderado
adolescencia media,masculino,no,clase media-alta,grande,preparatoria,posgrado,divorciado,1.6,con familiares,nuclear,6,mixto,privado,2,3–5 km,una vez a la semana,transporte privado,alto,mayor,ocasional,regular,nunca,regular,casi nunca,rara vez,casi nunca,rara vez,bajo
adolescencia media,femenino,no,clase media-alta,mediano,secundaria,posgrado,divorciado,3.8,con familiares,conjunto,3,mixto,público,7,3–5 km,nunca,transporte privado,bajo,mayor,regular,regular,ocasional,nunca,casi siempre,casi siempre,algunas veces,rara vez,bajo
adolescencia media,masculino,no,alta,pequeño,primaria,primaria,separado,3.4,albergue,conjunto,2,unisexo,público,3,3–5 km,nunca,transporte privado,bajo,moderado,regular,regular,nunca,ocasional,bastante a menudo,casi siempre,algunas veces,casi siempre,bajo
otros,masculino,sí,clase media-alta,mediano,licenciatura,primaria,soltero,0.0,con familiares,conjunto,5,mixto,público,7,más de 5 km,nunca,transporte público,alto,grave,ocasional,ocasional,regular,nunca,casi siempre,casi siempre,casi nunca,bastante a menudo,bajo
otros,femenino,no,clase media-alta,mediano,licenciatura,posgrado,divorciado,2.5,con familiares,nuclear,3,mixto,público,1,menos de 1 km,casi todos los días,transporte público,moderado,muy poco estrés,regular,nunca,regular,ocasional,algunas veces,casi nunca,casi siempre,casi siempre,moderado
adolescencia temprana,femenino,no,clase media-baja,grande,primaria,sin educación,soltero,1.4,con padres,conjunto,3,mixto,público,3,1–3 km,nunca,transporte privado,alto,moderado,regular,regular,nunca,regular,rara vez,bastante a menudo,algunas veces,bastante a menudo,bajo
adolescencia tardía,masculino,no,clase media-baja,mediano,sin educación,primaria,separado,3.7,con familiares,nuclear,5,unisexo,público,3,3–5 km,casi todos los días,transporte público,moderado,moderado,regular,ocasional,ocasional,ocasional,casi nunca,a veces,rara vez,casi nunca,moderado
adolescencia tardía,femenino,sí,alta,grande,posgrado,secundaria,casado,0.0,albergue,nuclear,3,unisexo,público,4,3–5 km,casi todos los días,a pie,moderado,leve,ocasional,regular,nunca,ocasional,rara vez,rara vez,casi nunca,casi nunca,bajo
adolescencia temprana,masculino,no,clase media-baja,pequeño,primaria,licenciatura,viudo,2.7,con familiares,nuclear,5,mixto,privado,1,menos de 1 km,dos veces a la semana,transporte público,moderado,leve,nunca,nunca,regular,nunca,rara vez,bastante a menudo,rara vez,casi siempre,moderado
adolescencia temprana,masculino,sí,clase media-alta,mediano,primaria,primaria,soltero,1.9,con padres,nuclear,6,mixto,privado,4,1–3 km,una vez a la semana,a pie,alto,moderado,regular,ocasional,nunca,regular,rara vez,bastante a menudo,casi nunca,casi siempre,bajo
adolescencia tardía,masculino,no,clase media-alta,grande,preparatoria,posgrado,viudo,1.3,con familiares,nuclear,5,unisexo,público,4,menos de 1 km,casi todos los días,a pie,alto,grave,regular,nunca,ocasional,ocasional,casi nunca,casi siempre,algunas veces,casi siempre,bajo
adolescencia media,masculino,no,clase media-baja,mediano,preparatoria,posgrado,separado,2.2,con familiares,nuclear,3,unisexo,privado,4,3–5 km,una vez a la semana,transporte privado,bajo,grave,nunca,regular,regular,regular,casi nunca,casi siempre,casi nunca,bastante a menudo,bajo
adolescencia tardía,femenino,no,clase media-alta,pequeño,licenciatura,sin educación,divorciado,2.4,con familiares,conjunto,5,mixto,privado,1,1–3 km,nunca,a pie,alto,leve,nunca,nunca,regular,regular,casi nunca,casi nunca,casi siempre,casi siempre,bajo
adolescencia temprana,masculino,no,clase media-baja,mediano,posgrado,primaria,viudo,4.3,albergue,conjunto,2,mixto,público,1,menos de 1 km,casi todos los días,transporte privado,alto,moderado,ocasional,nunca,ocasional,regular,algunas veces,bastante a menudo,algunas veces,casi nunca,moderado
adolescencia tardía,masculino,no,alta,pequeño,licenciatura,posgrado,separado,4.7,con padres,conjunto,1,mixto,público,2,3–5 km,dos veces a la semana,a pie,alto,grave,regular,ocasional,regular,ocasional,rara vez,rara vez,casi siempre,casi siempre,moderado
adolescencia media,masculino,no,clase media-baja,mediano,preparatoria,secundaria,casado,4.7,con familiares,conjunto,1,unisexo,público,3,menos de 1 km,dos veces a la semana,a pie,moderado,grave,ocasional,regular,ocasional,ocasional,rara vez,rara vez,casi siempre,casi siempre,moderado
adolescencia media,femenino,sí,alta,grande,posgrado,preparatoria,casado,1.7,albergue,nuclear,3,mixto,privado,4,3–5 km,dos veces a la semana,a pie,moderado,leve,nunca,nunca,regular,ocasional,casi nunca,bastante a menudo,algunas veces,casi siempre,bajo
adolescencia temprana,femenino,sí,clase baja,pequeño,secundaria,posgrado,viudo,3.5,con familiares,nuclear,3,unisexo,privado,1,menos de 1 km,casi todos los días,transporte privado,alto,leve,ocasional,regular,nunca,ocasional,algunas veces,a veces,casi siempre,casi nunca,moderado
adolescencia tardía,masculino,no,alta,pequeño,licenciatura,sin educación,casado,5.7,albergue,conjunto,5,unisexo,privado,5,3–5 km,casi todos los días,transporte público,bajo,muy poco estrés,nunca,nunca,ocasional,ocasional,rara vez,casi nunca,casi nunca,bastante a menudo,bajo
adolescencia media,masculino,sí,clase baja,grande,sin educación,preparatoria,soltero,1.9,con familiares,nuclear,3,mixto,privado,3,menos de 1 km,casi todos los días,transporte privado,bajo,mayor,nunca,nunca,ocasional,ocasional,rara vez,casi nunca,rara vez,rara vez,bajo
adolescencia tardía,femenino,no,alta,pequeño,primaria,licenciatura,viudo,1.1,con padres,nuclear,1,unisexo,público,2,1–3 km,casi todos los días,transporte público,moderado,muy poco estrés,nunca,nunca,nunca,ocasional,casi nunca,casi nunca,casi siempre,rara vez,bajo
adolescencia temprana,masculino,sí,clase baja,grande,licenciatura,secundaria,soltero,2.7,con familiares,nuclear,2,mixto,público,2,3–5 km,dos veces a la semana,transporte público,bajo,grave,nunca,regular,ocasional,ocasional,rara vez,casi siempre,algunas veces,algunas veces,bajo
adolescencia temprana,femenino,sí,clase baja,grande,posgrado,sin educación,casado,2.5,con padres,nuclear,5,unisexo,público,2,1–3 km,dos veces a la semana,transporte privado,moderado,leve,nunca,regular,nunca,ocasional,casi siempre,rara vez,bastante a menudo,casi nunca,moderado
otros,femenino,no,clase media-alta,pequeño,posgrado,posgrado,separado,1.6,albergue,nuclear,6,unisexo,público,3,menos de 1 km,una vez a la semana,transporte privado,alto,muy poco estrés,nunca,nunca,ocasional,ocasional,casi nunca,rara vez,bastante a menudo,casi nunca,bajo
adolescencia tardía,femenino,no,clase media-baja,grande,preparatoria,primaria,divorciado,2.6,albergue,nuclear,5,unisexo,privado,3,menos de 1 km,casi todos los días,transporte privado,alto,muy poco estrés,regular,regular,nunca,regular,algunas veces,rara vez,casi nunca,casi nunca,moderado
otros,femenino,sí,clase baja,grande,primaria,preparatoria,viudo,2.8,albergue,conjunto,6,mixto,público,1,menos de 1 km,una vez a la semana,transporte privado,moderado,moderado,regular,regular,nunca,regular,rara vez,casi nunca,rara vez,algunas veces,moderado
adolescencia media,femenino,no,clase media-baja,pequeño,licenciatura,primaria,soltero,4.0,con familiares,nuclear,6,mixto,público,3,3–5 km,una vez a la semana,transporte público,alto,mayor,ocasional,nunca,regular,regular,algunas veces,casi siempre,bastante a menudo,casi siempre,moderado
